Constituency_No,AC,CATEGORY,DISTRICT,DIVISION,PC,SC,ST,RURAL,URBAN,MUSLIM
115,MATAR,GENERAL,KHEDA,CENTRAL,KHEDA,6.03,1.67,91.54,8.46,0
117,MEHMEDABAD,GENERAL,KHEDA,CENTRAL,KHEDA,4.93,2.15,88.69,11.31,0
116,NADIAD,GENERAL,KHEDA,CENTRAL,KHEDA,5.1,2.09,23.3,76.7,0
119,THASRA,GENERAL,KHEDA,CENTRAL,PANCHMAHAL,5.53,3.22,87.88,12.13,0
23,BECHARAJI,GENERAL,MAHESANA,NORTH,MAHESANA,8.04,0.31,94.34,5.66,0.7
24,KADI,SC,MAHESANA,NORTH,MAHESANA,8.65,0.33,76.17,23.84,3.4
25,MAHESANA,GENERAL,MAHESANA,NORTH,MAHESANA,9.11,0.96,41.46,58.55,2.5
21,UNJHA,GENERAL,MAHESANA,NORTH,MAHESANA,7.17,0.28,68.45,31.55,2.6
26,VIJAPUR,GENERAL,MAHESANA,NORTH,MAHESANA,6.47,0.51,86.37,13.63,1.9
22,VISNAGAR,GENERAL,MAHESANA,NORTH,MAHESANA,7.3,0.52,70.73,29.28,1.6
20,KHERALU,GENERAL,MAHESANA,NORTH,PATAN,8.53,0.25,92.06,7.94,1
123,SANTRAMPUR,ST,MAHISAGAR,CENTRAL,DAHOD,3.24,79.91,93.74,6.27,0
121,BALASINOR,GENERAL,MAHISAGAR,CENTRAL,PANCHMAHAL,6.62,1.41,86.16,13.84,0
122,LUNAWADA,GENERAL,MAHISAGAR,CENTRAL,PANCHMAHAL,6.22,8.51,89.45,10.55,0
65,MORBI,GENERAL,MORBI,SAURASHTRA,KACHCHH,6.61,0.47,29.37,70.64,0
66,TANKARA,GENERAL,MORBI,SAURASHTRA,RAJKOT,9.56,1.03,89.92,10.08,0
67,WANKANER,GENERAL,MORBI,SAURASHTRA,RAJKOT,6.06,0.36,69.45,30.55,0
57,DEDIAPADA,ST,NARMADA,CENTRAL,BHARUCH,0.39,94.38,92.91,7.1,0
148,NANDOD,ST,NARMADA,SOUTH,CHHOTAUDAIPUR,2.5,69.51,86.33,13.67,0
176,GANDEVI,ST,NAVSARI,SOUTH,NAVSARI,2.42,41.79,71.29,28.71,0
174,JALALPORE,GENERAL,NAVSARI,SOUTH,NAVSARI,3.73,24.49,67.42,32.58,0
175,NAVSARI,GENERAL,NAVSARI,SOUTH,NAVSARI,4.06,30.41,38.39,61.61,0
177,VANSDA,ST,NAVSARI,SOUTH,VALSAD,0.86,88.2,96.16,3.84,0
128,HALOL,GENERAL,PANCHMAHAL,CENTRAL,CHHOTAUDAIPUR,2.3,37,82.76,17.24,0
126,GODHRA,GENERAL,PANCHMAHAL,CENTRAL,PANCHMAHAL,5.19,15.28,55.63,44.38,0
127,KALOL,GENERAL,PANCHMAHAL,CENTRAL,PANCHMAHAL,6.74,14.86,59.23,40.37,0
125,MORVA HADAF (ST),ST,PANCHMAHAL,CENTRAL,PANCHMAHAL,2.45,46.32,100,0,0
124,SHEHRA ,GENERAL,PANCHMAHAL,CENTRAL,PANCHMAHAL,4.74,14.28,94.45,5.55,0
17,CHANANSMA,GENERAL,PATAN,NORTH,PATAN,9.44,0.3,89.08,10.92,1.6
18,PATAN,GENERAL,PATAN,NORTH,PATAN,10.66,1.33,61.72,38.28,3.1
16,RADHANPUR,GENERAL,PATAN,NORTH,PATAN,6.81,1.49,88.69,11.31,1
19,SIDHPUR,GENERAL,PATAN,NORTH,PATAN,9.93,0.78,77.14,20.86,5.9
84,KUTIYANA,GENERAL,PORBANDAR,SAURASHTRA,PORBANDAR,10.11,3.51,74.92,25.09,0
83,PORBANDAR,GENERAL,PORBANDAR,SAURASHTRA,PORBANDAR,7.75,1.11,30.48,69.53,0
75,DHORAJI,GENERAL,RAJKOT,SAURASHTRA,PORBANDAR,11.09,0.53,51.25,48.75,0
73,GONDAL,GENERAL,RAJKOT,SAURASHTRA,PORBANDAR,8.08,0.43,59.34,40.67,0
138,JETPUR,GENERAL,RAJKOT,CENTRAL,PORBANDAR,8.65,0.46,60.96,39.04,0
72,JASDAN,GENERAL,RAJKOT,SAURASHTRA,RAJKOT,4.91,0.22,85.19,14.81,0
68,RAJKOT EAST,GENERAL,RAJKOT,SAURASHTRA,RAJKOT,7.95,0.46,0,100,0
71,RAJKOT RURAL,SC,RAJKOT,SAURASHTRA,RAJKOT,9.85,0.33,48.94,51.06,0
70,RAJKOT SOUTH,GENERAL,RAJKOT,SAURASHTRA,RAJKOT,3.24,0.47,0,100,0
69,RAJKOT WEST ,GENERAL,RAJKOT,SAURASHTRA,RAJKOT,6.27,1.24,0,100,0
27,HIMATNAGAR,GENERAL,SABARKANTHA,NORTH,SABARKANTHA,10.19,2.87,70.29,29.71,2.8
28,IDAR,SC,SABARKANTHA,NORTH,SABARKANTHA,15.13,5.15,82.03,17.97,1.2
29,KHEDBRAHMA,ST,SABARKANTHA,NORTH,SABARKANTHA,3.42,76.18,92.17,7.83,1.9
33,PRANTIJ,GENERAL,SABARKANTHA,NORTH,SABARKANTHA,7.95,0.34,86.71,13.29,0.9
169,BARDOLI,SC,SURAT,SOUTH,BARDOLI,4.3,33.89,61.01,38.99,0
99,MAHUVA (ST),ST,SURAT,SAURASHTRA,BARDOLI,1.48,75.22,100,0,0
2,MANDVI,ST,SURAT,SAURASHTRA,BARDOLI,1.1,81.31,89.76,10.24,0
89,MANGROL (ST),ST,SURAT,SAURASHTRA,BARDOLI,3.35,60.29,84.47,15.53,0
168,CHORYASI,GENERAL,SURAT,SOUTH,NAVSARI,2.18,7.46,8.75,91.25,0
165,MAJURA,GENERAL,SURAT,SOUTH,NAVSARI,2.92,6.9,0,100,0
164,UDHNA,GENERAL,SURAT,SOUTH,NAVSARI,4.63,2.9,0,100,0
162,KARANJ,GENERAL,SURAT,SOUTH,SURAT,1.63,2.05,0,100,0
166,KATARGAM,GENERAL,SURAT,SOUTH,SURAT,4.58,2.13,0,100,0
155,OLPAD,GENERAL,SURAT,SOUTH,SURAT,5.01,17.76,44.85,55.15,0
160,SURAT NORTH,GENERAL,SURAT,SOUTH,SURAT,3.81,3.17,0,100,0
167,SURAT WEST ,GENERAL,SURAT,SOUTH,SURAT,4.21,4.8,0,100,0
161,VARACHHA ROAD,GENERAL,SURAT,SOUTH,SURAT,1.88,1.95,0,100,0
158,KAMREJ,GENERAL,SURAT ,SOUTH,BARDOLI,4.42,20.43,47.47,52.53,0
163,LIMBAYAT,GENERAL,SURAT ,SOUTH,NAVSARI,1.63,2.42,0,100,0
159,SURAT EAST,GENERAL,SURAT ,SOUTH,SURAT,4.24,2.37,0,100,0
63,CHOTILA,GENERAL,SURENDRANAGAR,SAURASHTRA,SURENDRANAGAR,9.42,0.18,81.25,18.75,0
51,DASADA,SC,SURENDRANAGAR,CENTRAL,SURENDRANAGAR,12.96,4.46,90.28,9.72,0
64,DHRANGADHARA,GENERAL,SURENDRANAGAR,SAURASHTRA,SURENDRANAGAR,8.88,0.21,72.47,27.54,0
61,LIMBDI,GENERAL,SURENDRANAGAR,SAURASHTRA,SURENDRANAGAR,10.32,1.35,88.1,11.9,0
62,WADHWAN,GENERAL,SURENDRANAGAR,SAURASHTRA,SURENDRANAGAR,10.08,0.44,29.42,70.58,0
172,NIZAR ,ST ,TAPI,SOUTH,BARDOLI,0.94,85.5,92.14,7.86,0
171,VYARA,ST,TAPI,SOUTH,BARDOLI,0.94,84.84,85.17,14.83,0
147,KARJAN,GENERAL,VADODARA,CENTRAL,BHARUCH,6.87,27.18,87.97,12.04,0
140,DABHOI,GENERAL,VADODARA,CENTRAL,CHHOTAUDAIPUR,6.43,24.71,58.23,41.78,0
146,PADRA,GENERAL,VADODARA,CENTRAL,CHHOTAUDAIPUR,5.81,3.25,70.43,29.57,0
143,AKOTA,GENERAL,VADODARA,CENTRAL,VADODARA,4.86,2.79,100,0,0
145,MANJALPUR,GENERAL,VADODARA,CENTRAL,VADODARA,5.74,4.31,0,100,0
144,RAOPURA,GENERAL,VADODARA,CENTRAL,VADODARA,4.62,2.56,0,100,0
135,SAVLI,GENERAL,VADODARA,CENTRAL,VADODARA,5.2,6.72,93.33,6.67,0
142,SAYAJIGUNJ,GENERAL,VADODARA,CENTRAL,VADODARA,7.1,3.31,0,100,0
136,VAGHODIA,GENERAL,VADODARA,CENTRAL,VADODARA,5.86,14.96,55.27,44.73,0
141,VADODARA CITY ,SC,VADODARA ,CENTRAL,VADODARA,8.16,4.71,0,100,0
181,KAPRADA,ST,VALSAD,SOUTH,VALSAD,0.92,90.05,97.62,2.39,0
180,PARDI,GENERAL,VALSAD,SOUTH,VALSAD,2.59,25.68,34.4,65.61,0
182,UMBERGAON,ST,VALSAD,SOUTH,VALSAD,3.94,39.98,51.32,48.68,0
179,VALSAD,GENERAL,VALSAD,SOUTH,VALSAD,2.68,24.48,38.83,61.17,0
178,DHARAMPUR,ST,VALSAD,SOUTH,VALSAD,1.02,84.94,92.36,7.64,0
